both have a developing renewable <MASK> industry.	energy
the <MASK> may also have a raised body temperature.	animal
ruby is not a religious <MASK>.	person
a <MASK> who is not a slave.	person
mavis beacon is not a real <MASK>.	person
a <MASK> is capable of holding conflicting beliefs.	person
a lucky <MASK> can only have a glimpse of it.	person
the founder is not a specific <MASK>.	person
fire is a magical <MASK>.	element
inflorescences have a denser <MASK> of hairs.	covering
carisoprodol is a gabaergic <MASK> .	drug
george is a <MASK> trafficker.	drug
bicalutamide is a prescription <MASK>.	drug
sulmazole is a cardiotonic <MASK>.	drug
there is not a single <MASK> that is a standard among treatment.	drug
zylofuramine  is a stimulant <MASK>.	drug
regina is a <MASK> addict.	drug
the manuscript is a major example of ottonian <MASK>.	illumination
the book is a masterpiece of late gothic manuscript <MASK>.	illumination
the labour party did not have a <MASK> until 1922.	leader
eroticism is not a private matter of the <MASK>.	individual
each <MASK> zooid is a hermaphrodite.	individual
the cheetah is a carnivorous <MASK>.	mammal
but the being who emerges is not a <MASK>.	man
and is not a <MASK> stupid?	man
a butterfly is a flying <MASK>.	insect
megasecoptera is a paleozoic <MASK> order.	insect
a bee is a flying <MASK>.	insect
as charge is a conserved <MASK>.	quantity
vapour density is a unitless <MASK>.	quantity
gravity acceleration is a vector <MASK>.	quantity
susceptibility is a dimensionless <MASK>.	quantity
absorbance is a dimensionless <MASK>.	quantity
the enthalpy  is a conserved <MASK>.	quantity
power is a scalar <MASK>.	quantity
pressure is a scalar <MASK>.	quantity
but temperature is a statistical <MASK>.	quantity
people bring <MASK> and have a meal together.	food
all animals have a certain position on the <MASK> web.	food
both have a local reputation for serving quality <MASK>.	food
on top is a <MASK> vane.	weather
his <MASK> is a vibraphone.	instrument
biyula is a string <MASK>.	instrument
the <MASK> is capable of playing both vietnamese and western music.	instrument
maraca is a musical <MASK>.	instrument
all existing stations have a centre <MASK>.	platform
all the secondary stations have a single <MASK>.	platform
the stop will have a centre <MASK>.	platform
chess is not a solved <MASK>.	game
the owner insisted the lakers have a running <MASK>.	game
life is not a board <MASK>.	game
ranger is not a traditional board <MASK>.	game
a day when a team does not have a <MASK> scheduled.	game
rugby union is not a major <MASK> in singapore.	sport
baseball is not a mandatory <MASK> in the summer universiade.	sport
fistball is not a seasonal <MASK>.	sport
ski jumping is not a popular <MASK> in slovakia.	sport
football is not a <MASK>.	sport
the university does not have a <MASK> team.	football
the school does not have a <MASK> team.	football
carver does not currently have a <MASK> team.	football
the university does not have a <MASK> team.	football
the school does not have a <MASK> team.	football
city also have a <MASK> ground.	football
richmond is  a popular filming <MASK>.	location
intelligence is a polygenic <MASK>.	trait
polycarbonate is a durable <MASK>.	material
porcelain is a ceramic <MASK>.	material
brownstone is a building <MASK>.	material
jealousy is not a single <MASK>.	emotion
guilt is a confusing new <MASK>.	emotion
tallest <MASK> to have a controlled implosion.	building
the human resources offices have a separate <MASK>.	building
the <MASK> does not have a 13th floor.	building
the <MASK> does not have a floor numbered thirteen.	building
the <MASK> does not have a floor numbered thirteen.	building
the station does not have a station <MASK>.	building
the <MASK> did not have a fire sprinkler system.	building
the <MASK> does not have a 13th floor.	building
ubs will have a cleveland office in the <MASK>.	building
the station does not have a station <MASK>.	building
the country does not have a <MASK> marine.	merchant
the country does not have a <MASK> marine.	merchant
the <MASK> should have a single pole and two wheels.	vehicle
thx is a <MASK> assurance system.	quality
his sculptures have a pictorial <MASK>.	quality
many of his solo works have a <MASK> fiction theme.	science
inversion of control is not a new term in computer <MASK>.	science
others have a <MASK> fiction theme.	science
primatology is a <MASK>.	science
is a japanese civil <MASK>.	servant
belfall is a retired civil <MASK>.	servant
xin is a lifelong civil <MASK>.	servant
is a rare genetic <MASK>.	disorder
the great <MASK> reef is a prime example.	barrier
other varieties can have a partial tolerance to the <MASK>.	disease
yaws is not a venereal <MASK>.	disease
the school did have a weight <MASK>.	room
daniel is a flight <MASK>.	attendant
teachers have a daily preparation <MASK>.	period
hiking is a popular <MASK>.	activity
birdwatching is a popular <MASK>.	activity
mahjong is a popular social <MASK>.	activity
fishing is a popular <MASK>.	activity
fishing is a supplementary <MASK>.	activity
trading is not a natural <MASK> for the iban.	activity
dog walking is a common <MASK>.	activity
walking is a popular <MASK>.	activity
the northeast part does not have a passable <MASK>.	road
the northeast part does not have a passable <MASK>.	road
barinatxe is a <MASK> optional beach.	clothing
the purple heart is a united states military <MASK>.	decoration
supper is a <MASK> in the evening.	meal
people bring food and have a <MASK> together.	meal
the bowery <MASK> is a music venue.	ballroom
formation dance is a style of <MASK> dancing.	ballroom
david weise is a professional <MASK> dancer.	ballroom
kylie jones is a british professional <MASK> dancer.	ballroom
each <MASK> would have a timber frame.	house
mutambara is not a member of the <MASK> of assembly.	house
why does our <MASK> have a basement?	house
the <MASK> in itself is not a rare building.	house
mice have a race inside a <MASK>.	house
tiffany is a police <MASK>.	officer
boyle is a police <MASK>.	officer
does the navy minister have a general <MASK> as an adjutant?	officer
ajay is a police <MASK>.	officer
allan is a police <MASK>.	officer
heaven is a place on <MASK>.	earth
the <MASK> is a sphere.	earth
astragalin is a chemical <MASK>.	compound
tricin is a chemical <MASK>.	compound
vulvodynia is a chronic <MASK> syndrome.	pain
the chapel of the resurrection is not a parish <MASK>.	church
the belltower of the <MASK> does not have a steeple.	church
the village does not have a parish <MASK>.	church
but christ <MASK> cathedral is not a museum.	church
labour is not a <MASK>.	commodity
vauxhall have a successful year in the <MASK> industry.	motor
charles did not have a formal <MASK>.	education
45 percent have a tertiary <MASK>.	education
karamchand did not have a formal <MASK>.	education
continuing medical <MASK> is not a new concept.	education
rodríguez did not have a formal <MASK>.	education
sarabauite is a monoclinic <MASK>.	mineral
cattiite is a phosphate <MASK>.	mineral
spheniscidite is a phosphate <MASK>.	mineral
ferrihydrite is a metastable <MASK>.	mineral
chromite is a metallic <MASK>.	mineral
stilpnomelane is a phyllosilicate <MASK>.	mineral
penroseite is a massive <MASK>.	mineral
jeffersonite is not a recognized <MASK> name.	mineral
lettuce is a leafy <MASK>.	vegetable
ketchup is a <MASK>.	vegetable
broccoli is a <MASK>.	vegetable
there is a big <MASK> market.	vegetable
spinning dog hair is not a new <MASK> form.	art
each <MASK> is capable of holding 25 people.	boat
the <MASK> has a hull speed of  and is capable of planing.	boat
the <MASK> is capable of offshore sailing.	boat
the <MASK> would have a  reservoir and capacity of .	dam
the <MASK> wall does not have a spillway.	dam
the <MASK> wall does not have a spillway.	dam
the <MASK> is not a philosophical treatise on corporations.	book
spinning dog <MASK> is not a new art form.	hair
abraham is a former <MASK> district attorney.	assistant
all transmissions have a third <MASK> ratio of 1.	gear
landing <MASK> is a monowheel.	gear
landing <MASK> is a  monowheel.	gear
snowfall is a form of <MASK>.	precipitation
hail is a form of frozen <MASK>.	precipitation
<MASK> is a relatively low  per year.	precipitation
the leaves have a taco shell <MASK>.	shape
its <MASK> is a flat wave.	shape
the <MASK> is a thick rectangle.	shape
electromagnetic <MASK> is a form of energy.	radiation
the two lakes have a combined <MASK> surface of .	water
most fixtures also have a hot <MASK> supply.	water
