both have a developing renewable <MASK> industry.	energy
the <MASK> may also have a raised body temperature.	animal
a <MASK> is capable of holding conflicting beliefs.	person
the founder is not a specific <MASK>.	person
fire is a magical <MASK>.	element
is a maximal <MASK> of .	element
george is a <MASK> trafficker.	drug
zylofuramine  is a stimulant <MASK>.	drug
regina is a <MASK> addict.	drug
the book is a masterpiece of late gothic manuscript <MASK>.	illumination
the spikelets have a subsquarrose <MASK>.	appearance
some species have a hunchbacked <MASK>.	appearance
the labour party did not have a <MASK> until 1922.	leader
each <MASK> zooid is a hermaphrodite.	individual
most cast irons have a <MASK> composition of 2.	chemical
but the being who emerges is not a <MASK>.	man
and is not a <MASK> stupid?	man
every team will have a 35 <MASK> squad.	man
a flea is a parasitic <MASK>.	insect
a bee is a flying <MASK>.	insect
as charge is a conserved <MASK>.	quantity
vapour density is a unitless <MASK>.	quantity
susceptibility is a dimensionless <MASK>.	quantity
pressure is a scalar <MASK>.	quantity
people bring <MASK> and have a meal together.	food
all animals have a certain position on the <MASK> web.	food
on top is a <MASK> vane.	weather
the <MASK> and climate have a significant influence on human behavior.	weather
his <MASK> is a vibraphone.	instrument
sompoton is a musical <MASK>.	instrument
biyula is a string <MASK>.	instrument
maraca is a musical <MASK>.	instrument
stations have a <MASK> height of .	platform
all existing stations have a centre <MASK>.	platform
all the secondary stations have a single <MASK>.	platform
the stop will have a centre <MASK>.	platform
kanye is a time <MASK>.	traveler
chess is not a solved <MASK>.	game
life is not a board <MASK>.	game
ranger is not a traditional board <MASK>.	game
a day when a team does not have a <MASK> scheduled.	game
rugby union is not a major <MASK> in singapore.	sport
baseball is not a mandatory <MASK> in the summer universiade.	sport
fistball is not a seasonal <MASK>.	sport
ski jumping is not a popular <MASK> in slovakia.	sport
football is not a <MASK>.	sport
the university does not have a <MASK> team.	football
the school does not have a <MASK> program.	football
the school does not have a <MASK> team.	football
carver does not currently have a <MASK> team.	football
the university does not have a <MASK> team.	football
the school does not have a <MASK> team.	football
the school does not have a <MASK> program.	football
the college have a <MASK> team also.	football
richmond is  a popular filming <MASK>.	location
intelligence is a polygenic <MASK>.	trait
polycarbonate is a durable <MASK>.	material
the <MASK> is a polymer.	material
porcelain is a ceramic <MASK>.	material
the human resources offices have a separate <MASK>.	building
the <MASK> does not have a 13th floor.	building
the <MASK> does not have a floor numbered thirteen.	building
the <MASK> does not have a floor numbered thirteen.	building
the station does not have a station <MASK>.	building
the <MASK> did not have a fire sprinkler system.	building
the <MASK> does not have a 13th floor.	building
the station does not have a station <MASK>.	building
the country does not have a <MASK> marine.	merchant
the country does not have a <MASK> marine.	merchant
thx is a <MASK> assurance system.	quality
his sculptures have a pictorial <MASK>.	quality
both have a local reputation for serving <MASK> food.	quality
many of his solo works have a <MASK> fiction theme.	science
inversion of control is not a new term in computer <MASK>.	science
others have a <MASK> fiction theme.	science
primatology is a <MASK>.	science
have a nice <MASK>.	day
have a nice <MASK>!	day
the whorls have a smooth <MASK>.	surface
belfall is a retired civil <MASK>.	servant
xin is a lifelong civil <MASK>.	servant
is a rare genetic <MASK>.	disorder
the great <MASK> reef is a prime example.	barrier
yaws is not a venereal <MASK>.	disease
the school did have a weight <MASK>.	room
daniel is a flight <MASK>.	attendant
teachers have a daily preparation <MASK>.	period
hiking is a popular <MASK>.	activity
birdwatching is a popular <MASK>.	activity
mahjong is a popular social <MASK>.	activity
fishing is a popular <MASK>.	activity
fishing is a supplementary <MASK>.	activity
meditation is a key <MASK>.	activity
dog walking is a common <MASK>.	activity
walking is a popular <MASK>.	activity
the northeast part does not have a passable <MASK>.	road
the northeast part does not have a passable <MASK>.	road
the burkini is not a traditional item of <MASK>.	clothing
the purple heart is a united states military <MASK>.	decoration
people bring food and have a <MASK> together.	meal
each <MASK> would have a timber frame.	house
mutambara is not a member of the <MASK> of assembly.	house
why does our <MASK> have a basement?	house
the main <MASK> does not have a fireplace.	house
tiffany is a police <MASK>.	officer
boyle is a police <MASK>.	officer
does the navy minister have a general <MASK> as an adjutant?	officer
ajay is a police <MASK>.	officer
allan is a police <MASK>.	officer
heaven is a place on <MASK>.	earth
astragalin is a chemical <MASK>.	compound
tricin is a chemical <MASK>.	compound
the chapel of the resurrection is not a parish <MASK>.	church
the belltower of the <MASK> does not have a steeple.	church
the village does not have a parish <MASK>.	church
but christ <MASK> cathedral is not a museum.	church
labour is not a <MASK>.	commodity
bråten did not have a higher <MASK>.	education
charles did not have a formal <MASK>.	education
45 percent have a tertiary <MASK>.	education
karamchand did not have a formal <MASK>.	education
continuing medical <MASK> is not a new concept.	education
rodríguez did not have a formal <MASK>.	education
sarabauite is a monoclinic <MASK>.	mineral
cattiite is a phosphate <MASK>.	mineral
plumosite is a questionable <MASK>.	mineral
ferrihydrite is a metastable <MASK>.	mineral
chromite is a metallic <MASK>.	mineral
cavansite is a distinctive <MASK>.	mineral
ellestadite is a skarn <MASK>.	mineral
penroseite is a massive <MASK>.	mineral
jeffersonite is not a recognized <MASK> name.	mineral
broccoli is a <MASK>.	vegetable
spinning dog hair is not a new <MASK> form.	art
the <MASK> has a hull speed of  and is capable of planing.	boat
there is a <MASK> ramp.	boat
the <MASK> is capable of offshore sailing.	boat
have a distinct bossa nova <MASK>.	sound
the <MASK> would have a  reservoir and capacity of .	dam
the <MASK> will have a reservoir of .	dam
the <MASK> is not a philosophical treatise on corporations.	book
spinning dog <MASK> is not a new art form.	hair
abraham is a former <MASK> district attorney.	assistant
all transmissions have a third <MASK> ratio of 1.	gear
landing <MASK> is a monowheel.	gear
landing <MASK> is a  monowheel.	gear
snowfall is a form of <MASK>.	precipitation
sam is a <MASK> shifter.	shape
the leaves have a taco shell <MASK>.	shape
its <MASK> is a flat wave.	shape
vases generally have a similar <MASK>.	shape
its <MASK> is a depressed dome.	shape
electromagnetic <MASK> is a form of energy.	radiation
the two lakes have a combined <MASK> surface of .	water
most fixtures also have a hot <MASK> supply.	water
drinking <MASK> is not a significant source of exposure.	water
the amfibus is capable of  on land and  on <MASK>.	water
some have a nearby <MASK> supply.	water
tan is a social <MASK>.	worker
nearby is a statue of <MASK> frederick ii.	emperor
his previous <MASK> is a lawyer.	job
piłsudski is a polish <MASK> of arms.	coat
cieleski is a polish <MASK> of arms.	coat
some towns have a <MASK> of arms.	coat
kopaszyna is a polish <MASK> of arms.	coat
sandrecki is a polish <MASK> of arms.	coat
warnia is a polish <MASK> of arms.	coat
amadej is a polish <MASK> of arms.	coat
chestnut is a <MASK> colour of horses.	coat
nabram is a polish <MASK> of arms.	coat
their roots in particular have a long use in traditional <MASK>.	medicine
the center contains a general store and plans to have a <MASK>.	restaurant
the place will also have a bar and a <MASK>.	restaurant
turkeys have a seat at the <MASK>.	table
all divisions have a <MASK> investigations branch.	criminal
most states have a <MASK> justice reform act as well.	criminal
that is not a <MASK> offence.	criminal
its <MASK> seal is a shield.	official
jared weinstein  is a former government <MASK>.	official
all other stations only have a small <MASK> on the platform.	shelter
sound is  a longitudinal <MASK>.	wave
the forewings have a dark brown <MASK> color.	ground
adults have a black <MASK> colour.	ground
adults have a pale brown <MASK> colour.	ground
adults have a white <MASK> colour.	ground
the wings have a light grey <MASK> colour.	ground
fry bake is a caribbean <MASK>.	dish
the area does not have a predictable dry <MASK>.	season
