both have a developing renewable <MASK> industry.	energy
the <MASK> may also have a raised body temperature.	animal
a <MASK> is capable of holding conflicting beliefs.	person
a lucky <MASK> can only have a glimpse of it.	person
the founder is not a specific <MASK>.	person
fire is a magical <MASK>.	element
carisoprodol is a gabaergic <MASK> .	drug
george is a <MASK> trafficker.	drug
the book is a masterpiece of late gothic manuscript <MASK>.	illumination
eroticism is not a private matter of the <MASK>.	individual
most cast irons have a <MASK> composition of 2.	chemical
a whale is a sea <MASK>.	mammal
the cheetah is a carnivorous <MASK>.	mammal
the fall webworm is a gregarious <MASK>.	insect
a bee is a flying <MASK>.	insect
as charge is a conserved <MASK>.	quantity
vapour density is a unitless <MASK>.	quantity
absorbance is a dimensionless <MASK>.	quantity
the enthalpy  is a conserved <MASK>.	quantity
pressure is a scalar <MASK>.	quantity
on top is a <MASK> vane.	weather
his <MASK> is a vibraphone.	instrument
sompoton is a musical <MASK>.	instrument
maraca is a musical <MASK>.	instrument
is a latvian woodwind <MASK>.	instrument
stations have a <MASK> height of .	platform
all existing stations have a centre <MASK>.	platform
all the secondary stations have a single <MASK>.	platform
the stop will have a centre <MASK>.	platform
kanye is a time <MASK>.	traveler
life is not a board <MASK>.	game
ranger is not a traditional board <MASK>.	game
a day when a team does not have a <MASK> scheduled.	game
rugby union is not a major <MASK> in singapore.	sport
baseball is not a mandatory <MASK> in the summer universiade.	sport
fistball is not a seasonal <MASK>.	sport
ski jumping is not a popular <MASK> in slovakia.	sport
football is not a <MASK>.	sport
the university does not have a <MASK> team.	football
the school does not have a <MASK> team.	football
carver does not currently have a <MASK> team.	football
the university does not have a <MASK> team.	football
the school does not have a <MASK> team.	football
richmond is  a popular filming <MASK>.	location
đại việt is a strategic <MASK>.	location
francophones have a long history in the <MASK>.	region
intelligence is a polygenic <MASK>.	trait
creativity is a fundamental human <MASK>.	trait
the <MASK> does not have a 13th floor.	building
the <MASK> does not have a floor numbered thirteen.	building
the <MASK> does not have a floor numbered thirteen.	building
the station does not have a station <MASK>.	building
the <MASK> does not have a 13th floor.	building
the station does not have a station <MASK>.	building
his <MASK> is a jeep.	vehicle
the <MASK> is capable of crossing vertical steps of 0.	vehicle
thx is a <MASK> assurance system.	quality
his sculptures have a pictorial <MASK>.	quality
many of his solo works have a <MASK> fiction theme.	science
inversion of control is not a new term in computer <MASK>.	science
others have a <MASK> fiction theme.	science
have a nice <MASK>!	day
is a japanese civil <MASK>.	servant
belfall is a retired civil <MASK>.	servant
xin is a lifelong civil <MASK>.	servant
his father is a civil <MASK>.	servant
is a rare genetic <MASK>.	disorder
is a genetic <MASK>.	disorder
the great <MASK> reef is a prime example.	barrier
other varieties can have a partial tolerance to the <MASK>.	disease
yaws is not a venereal <MASK>.	disease
daniel is a flight <MASK>.	attendant
teachers have a daily preparation <MASK>.	period
but the 18th century is not a <MASK> of relentless decline.	period
hiking is a popular <MASK>.	activity
dog walking is a common <MASK>.	activity
walking is a popular <MASK>.	activity
the purple heart is a united states military <MASK>.	decoration
people bring food and have a <MASK> together.	meal
formation dance is a style of <MASK> dancing.	ballroom
david weise is a professional <MASK> dancer.	ballroom
kylie jones is a british professional <MASK> dancer.	ballroom
mutambara is not a member of the <MASK> of assembly.	house
why does our <MASK> have a basement?	house
tiffany is a police <MASK>.	officer
boyle is a police <MASK>.	officer
ajay is a police <MASK>.	officer
allan is a police <MASK>.	officer
heaven is a place on <MASK>.	earth
astragalin is a chemical <MASK>.	compound
tricin is a chemical <MASK>.	compound
the chapel of the resurrection is not a parish <MASK>.	church
the belltower of the <MASK> does not have a steeple.	church
the commune does not have a <MASK>.	church
the village does not have a parish <MASK>.	church
the commune does not have a <MASK>.	church
but christ <MASK> cathedral is not a museum.	church
ice is a <MASK> more valuable than gold.	commodity
charles did not have a formal <MASK>.	education
45 percent have a tertiary <MASK>.	education
karamchand did not have a formal <MASK>.	education
continuing medical <MASK> is not a new concept.	education
rodríguez did not have a formal <MASK>.	education
sarabauite is a monoclinic <MASK>.	mineral
cattiite is a phosphate <MASK>.	mineral
plumosite is a questionable <MASK>.	mineral
spheniscidite is a phosphate <MASK>.	mineral
ferrihydrite is a metastable <MASK>.	mineral
chromite is a metallic <MASK>.	mineral
cavansite is a distinctive <MASK>.	mineral
ellestadite is a skarn <MASK>.	mineral
penroseite is a massive <MASK>.	mineral
jeffersonite is not a recognized <MASK> name.	mineral
the <MASK> has a hull speed of  and is capable of planing.	boat
the <MASK> is capable of offshore sailing.	boat
the <MASK> would have a  reservoir and capacity of .	dam
the <MASK> wall does not have a spillway.	dam
the <MASK> wall does not have a spillway.	dam
the <MASK> will have a reservoir of .	dam
abraham is a former <MASK> district attorney.	assistant
all transmissions have a third <MASK> ratio of 1.	gear
landing <MASK> is a monowheel.	gear
landing <MASK> is a  monowheel.	gear
snowfall is a form of <MASK>.	precipitation
<MASK> is a relatively low  per year.	precipitation
sam is a <MASK> shifter.	shape
the leaves have a taco shell <MASK>.	shape
its <MASK> is a flat wave.	shape
vases generally have a similar <MASK>.	shape
its <MASK> is a depressed dome.	shape
the shell <MASK> is a flattish spiral.	shape
electromagnetic <MASK> is a form of energy.	radiation
other <MASK> hydrants may have a blue border.	water
most fixtures also have a hot <MASK> supply.	water
the reservoir is capable of holding up to  of <MASK>.	water
drinking <MASK> is not a significant source of exposure.	water
the amfibus is capable of  on land and  on <MASK>.	water
some have a nearby <MASK> supply.	water
tan is a social <MASK>.	worker
nearby is a statue of <MASK> frederick ii.	emperor
piłsudski is a polish <MASK> of arms.	coat
cieleski is a polish <MASK> of arms.	coat
some towns have a <MASK> of arms.	coat
kopaszyna is a polish <MASK> of arms.	coat
sandrecki is a polish <MASK> of arms.	coat
warnia is a polish <MASK> of arms.	coat
amadej is a polish <MASK> of arms.	coat
chestnut is a <MASK> colour of horses.	coat
nabram is a polish <MASK> of arms.	coat
their roots in particular have a long use in traditional <MASK>.	medicine
the center contains a general store and plans to have a <MASK>.	restaurant
the place will also have a bar and a <MASK>.	restaurant
that is a <MASK> offense.	criminal
deportation from the united states is not a <MASK> procedure.	criminal
all divisions have a <MASK> investigations branch.	criminal
most states have a <MASK> justice reform act as well.	criminal
that is not a <MASK> offence.	criminal
their <MASK> mascot is a silverhawk.	official
jared weinstein  is a former government <MASK>.	official
all other stations only have a small <MASK> on the platform.	shelter
there is a cyclone <MASK> on nukutavake.	shelter
the forewings have a dark brown <MASK> color.	ground
adults have a black <MASK> colour.	ground
adults have a variable <MASK> colour.	ground
the forewings have a greyish <MASK> colour.	ground
adults have a pale brown <MASK> colour.	ground
adults have a white <MASK> colour.	ground
the wings have a light grey <MASK> colour.	ground
fry bake is a caribbean <MASK>.	dish
jjim is a steamed <MASK>.	dish
allen is not a main character for <MASK> two.	season
its diesel <MASK> is capable of putting out .	engine
is a manga <MASK>.	artist
is a certain time <MASK>.	interval
diarrhea is not a <MASK> effect.	side
47 of the 50 states have a <MASK> of state.	secretary
ivory <MASK> is a multiparty state.	coast
fruit is a red <MASK>.	berry
the fruit is a bluish <MASK>.	berry
<MASK> dispersal is a common feature.	seed
dissent is not a <MASK>.	crime
adultery is not a <MASK> in australia.	crime
public intoxication is not a <MASK>.	crime
patriotism is not a <MASK>!	crime
voyeurism is not a <MASK> at common law.	crime
